area,key,pt-BR
account,confirmPW,Confirme a Senha
account,confirmPWPlaceholder,Redigite sua senha
account,confirmRegistration,Confirme Seu Registro
account,createAccount,Crie uma Conta
account,emailAddress,Endereço de E-mail
account,emailPlaceholder,Insira o endereço de e-mail
account,employeeId,ID do Funcionário
account,firstName,Primeiro Nome
account,firstNamePlaceholder,Primeiro nome
account,forgetPassword,Esqueci minha senha...
account,forgotPasswordInstructions,"""Caso tenha esquecido sua senha, você precisará redefini-la.  Digite o endereço de e-mail associado à sua conta e clique em """
account,formInstructions,Insira as seguintes informações para criar a sua conta
account,lastName,Sobrenome
account,lastNamePlaceholder,Sobrenome
account,login,Entrar
account,password,Senha
account,passwordPlaceholder,Insira sua senha
account,passwordPopOver,"""Sua senha deve ter no mínimo 6 caracteres e incluir pelo menos 1 letra minúscula, 1 letra MAIÚSCULA, 1 número e 1 um caractere de pontuação."""
account,passwordReset,"""Senha redefinida com sucesso. Por favor, confira seu e-mail."""
account,remember,Lembre-se do meu nome de usuário
account,resetPW,Redefinir Senha
account,returnToSignin,Voltar à Página de Entrada
account,signin,Entrar
account,signout,Sair
account,userExistsError,O endereço de e-mail já existe no sistema.
account,userNotFound,Não conseguimos localizar o endereço de e-mail no sistema.
account,emailConfirmPlaceholder,Redigite seu endereço de e-mail
account,emailMatch,Os campos de e-mail devem coincidir.
account,emailError,"Encontramos um erro ao enviar o seu e-mail. Por favor, tente novamente mais tarde"
apply,addContacts,Adicionar Contatos
apply,cancel,Cancelar
apply,change,Alterar
apply,contactEmail,E-mail
apply,contactName,Nome
apply,contactPhone,Telefone
apply,contacts,Contatos
apply,details,Detalhes
apply,form,Formulário
apply,myNonprofits,Minhas Organizações
apply,newContact,Novo Contato
apply,nonprofit,Organização
apply,nonprofitContacts,Contatos da Organização
apply,save,Salvar
apply,saveAndContinue,Salvar e Continuar
apply,select,Selecionar
apply,selectContacts,Selecionar Contatos
apply,selectContactsInstructions,Selecione os contatos da organização para adicionar a esta inscrição
apply,selected,Selecionado(s)
apply,selectNonprofit,Selecione uma organização
apply,abandonRequest,abandone sua requisição de concessão
apply,abandonRequestHelper,"Ao abandonar sua requisição, você não terá mais acesso a esta requisição nem a nenhum dado inserido."
apply,addCollaborators,Adicionar Colaboradores
apply,applicantInformation,Informações de Candidatura
apply,backToReviews,Voltar às Análises
apply,cancelConfirmKey,Cancele sua requisição de concessão
apply,cancelHelperKey,"Ao cancelar sua requisição, você não terá mais acesso a esta requisição nem a nenhum dado inserido."
apply,cycleFinished,
apply,cycleIssue1,"Com base nas suas respostas, você é elegível para o(a) "
apply,cycleIssue2, que não está aceitando candidaturas no momento.
apply,cycleNotStarted,"Por favor, tente novamente em"
apply,eligibilityConfirmed,"Parabéns, você é elegível para se candidatar para este programa"
apply,eligibilityDenied,"Parece que esta requisição não atenderá aos requisitos de elegibilidade deste programa.  Por favor, consulte as diretrizes do nosso site e/ou programa para obter mais informações.  Agradecemos pelo seu interesse!"
apply,eligibilityNotSetUp,"Lamentamos a inconveniência, mas parece que esta elegibilidade não foi definida. Por favor, tente novamente mais tarde!"
apply,id,ID
apply,missedDeadlineMessage,"Infelizmente, você perdeu o prazo do ciclo desta concessão. Por favor, contate o administrador de concessões caso tenha alguma dúvida."
apply,myOrganizations,Minhas Organizações
apply,newCollaborator,Novo Colaborador
apply,noForms,"Nenhum formulário disponível para este programa. Por favor, tente novamente mais tarde."
apply,organizationContacts,Contatos da Organização
apply,organizationInfo,Informações da Organização
apply,previewTooltip,Visualizar e imprimir este formulário de requisição
apply,progressReportFor,Relatório de Progresso de
apply,requestFor,Requisição de
apply,reviewFor,Análise de
apply,saveAsDraft,Salvar como Rascunho
apply,saveCollaborator,Salvar Colaborador
apply,saveCollaborators,Salvar Colaboradores
apply,saveCollaboratorsSuccess,Seus colaboradores foram convidados.
apply,saveForLater,Salvar Para Mais Tarde
apply,saveProgress,Salvar Progresso
apply,saveSuccessful,Progresso salvo!
apply,selectCollaboratorsInstructionsModal,"Para adicionar colaboradores a esta candidatura, selecione-os na lista de contatos abaixo ou adicione outro clicando em Novo Colaborador""."""
apply,selectCollaboratorsWarning,Nota: apenas um candidato pode editar a requisição por vez ou haverá risco de perder dados.
apply,selectContactsInstructions,"Para adicionar contatos a esta candidatura, clique no botão Adicionar Contatos"
apply,selectContactsInstructionsModal,"Para adicionar contatos a esta candidatura, clique em Novo Contato para inserir abaixo as informações de contato"
apply,selectOrganization,Selecione uma organização
apply,shareRequest,Compartilhar com um Colaborador
apply,shareTooltip,Permitir que um colega visualize e edite esta requisição.
apply,shareTooltipDisabled,Você deve escolher uma organização antes de compartilhar esta requisição.
apply,submitFailure,Você não concluiu esta parte da candidatura
apply,submitRequest,enviar sua requisição
apply,submitSuccess,Você requisitou com sucesso uma concessão. Sua candidatura será agora analisada.
apply,submitWarning,"Ao enviar sua requisição, ela será trancada e você não poderá realizar nenhuma alteração."
apply,uploadFile,Carregar Arquivo
apply,uploadFileDesc,Selecione seu arquivo
apply,viewAllReports,Ver todos os Relatórios
apply,viewAllRequests,Ver todas as Requisições
apply,addApplicants,Adicionar pedidos
apply,collaborators,Colaboradores
apply,cycleIssue2,que atualmente não está aceitando pedidos.
apply,duplicateEmail,O e-mail não pode ser o mesmo do visitante atual
apply,newApplicant,Novo pedido
