area,key,zh-CN
account,confirmPW,确认密码
account,confirmPWPlaceholder,重新输入密码
account,confirmRegistration,确认注册
account,createAccount,创建帐户
account,emailAddress,电子邮件地址
account,emailConfirmPlaceholder,重新输入您的电子邮件地址
account,emailError,向您发送电子邮件时出错，请稍后再试
account,emailMatch,电子邮件字段必须匹配。
account,emailPlaceholder,输入电子邮件地址
account,employeeId,员工ID
account,firstName,名字
account,firstNamePlaceholder,名字
account,forgetPassword,我忘记了密码…
account,forgotPasswordInstructions,如果您忘记了密码，您需要重置密码。输入与帐户关联的电子邮件地址，然后点击
account,formInstructions,输入以下信息来创建帐户
account,lastName,姓
account,lastNamePlaceholder,姓
account,login,登记
account,password,密码
account,passwordPlaceholder,输入密码
account,passwordPopOver,密码必须至少为6个字符，其中至少包括1个小写字母和1个大写字母，并至少有1个数字和1个标点符号。
account,passwordReset,密码重置成功。请查看您的电子邮件。
account,remember,记住我的用户名
account,resetPW,重置密码
account,returnToSignin,返回登记页面
account,signin,登记
account,signout,退出
account,userExistsError,系统中已有该电子邮件地址。
account,userNotFound,我们无法在系统中找到该电子邮件地址。
apply,abandonRequest,放弃您的资金申请
apply,abandonRequestHelper,放弃申请，您即不再使用本申请或任何输入的数据。
apply,addApplicants,添加申请人
apply,addCollaborators,添加合作者
apply,addContacts,添加联系人
apply,applicantInformation,申请人信息
apply,backToReviews,返回审核
apply,cancel,取消
apply,cancelConfirmKey,取消您的资金申请
apply,cancelHelperKey,取消申请，您即不再使用本申请或任何输入的数据。
apply,change,更改
apply,collaborators,合作者
apply,contactEmail,电子邮件
apply,contactName,姓名
apply,contactPhone,电话
apply,contacts,联系方式
apply,cycleFinished,
apply,cycleIssue1,根据您的回答，您有资格
apply,cycleIssue2,目前不接受申请。
apply,cycleNotStarted,请重试
apply,details,详情
apply,duplicateEmail,电子邮件地址不能与当前访客的相同
apply,eligibilityConfirmed,恭喜，您有资格申请本计划
apply,eligibilityDenied,似乎此申请不符合本计划的资质要求。若要了解详细信息，请参考我们的网站和/或计划指南。感谢您的兴趣！
apply,eligibilityNotSetUp,对此不便，深表歉意，但似乎此资质尚未设立，请稍后重试！
apply,form,表格
apply,id,身份标识
apply,missedDeadlineMessage,非常遗憾，您已错过本次资金授予的截止期限。如您有任何疑问，请联系资金管理人。
apply,myNonprofits,我的机构
apply,myOrganizations,我的机构
apply,newApplicant,新申请人
apply,newCollaborator,新合作者
apply,newContact,新联系人
apply,noForms,本计划无表格可用，请稍后重试。
apply,nonprofit,机构
apply,nonprofitContacts,机构联系人
apply,oneAtATime,请记住，您每次只能选择一位申请人。您选择的第一位申请人将成为“主申请人”。之后选择的申请人将成为申请人合作者。所有选中的申请人将可以参加申请。
apply,organizationApplicants,机构申请人
apply,organizationApplicantsInstructions,需要机构申请人。您可以通过点击“添加申请人”按钮来添加一个或更多申请人。
apply,organizationContacts,机构联系人
apply,organizationInfo,机构信息
apply,previewTooltip,预览并打印本申请表
apply,progressReportFor,进度报告
apply,requestContacts,请求联系人
apply,requestFor,申请
apply,reviewFor,审核
apply,save,保存
apply,saveAndContinue,保存并继续
apply,saveApplicant,保存申请人
apply,saveApplicants,保存申请人
apply,saveApplicantSuccess,您的申请人已被邀请。
