area,key,de-DE
account,confirmPW,Bestätigen Sie das Passwort
account,confirmPWPlaceholder,Passwort erneut eingeben
account,confirmRegistration,Bestätigen Sie Ihre Registrierung
account,createAccount,Legen Sie ein Konto an
account,emailAddress,E-Mail-Adresse
account,emailPlaceholder,Geben Sie die E-Mail-Adresse ein
account,employeeId,Mitarbeiter-Steuer-ID
account,firstName,Vorname
account,firstNamePlaceholder,Vorname
account,forgetPassword,Ich habe mein Passwort vergessen ...
account,forgotPasswordInstructions,"Wenn Sie Ihr Passwort vergessen haben, müssen Sie es zurücksetzen. Geben Sie die mit Ihrem Konto verbundene E-Mail-Adresse ein und klicken Sie"
account,formInstructions,"Tragen Sie die folgenden Informationen ein, um Ihr Konto anzulegen"
account,lastName,Nachname
account,lastNamePlaceholder,Nachname
account,login,Anmelden
account,password,Passwort
account,passwordPlaceholder,Geben Sie Ihr Passwort ein
account,passwordPopOver,Ihr Passwort muss mindestens 6 Zeichen lang sein und mindestens einen (1) Klein- und einen (1) GROSSBUCHSTABEN enthalten sowie mindestens 1 Zahl und 1 Satzzeichen.
account,passwordReset,Das Passwort wurde erfolgreich zurückgesetzt. überprüfen Sie bitte Ihre E-Mail.
account,remember,An meinen Benutzernamen erinnern
account,resetPW,Setz mein Passwort zurück
account,returnToSignin,Geh zur Anmelde-Seite zurück
account,signin,Anmelden
account,signout,Abmelden
account,userExistsError,Diese E-Mail-Adresse ist in unserem System bereits vorhanden.
account,userNotFound,Wir konnten diese E-Mail-Adresse in unserem System nicht finden.
account,emailConfirmPlaceholder,Geben Sie Ihre E-Mail-Adresse erneut ein
account,emailMatch,E-Mail-Felder müssen übereinstimmen.
account,emailError,Beim Senden Ihrer E-Mail ist ein Problem aufgetreten. Bitte versuchen Sie es später erneut.
apply,addContacts,Kontakte hinzufügen
apply,cancel,Löschen
apply,change,Ändern
apply,contactEmail,E-Mail
apply,contactName,Name
apply,contactPhone,Telefon
apply,contacts,Kontakte
apply,details,Details
apply,form,Formular
apply,myNonprofits,Meine Organisation
apply,newContact,Neuer Kontakt
apply,nonprofit,Organisation
apply,nonprofitContacts,Organisations-Kontakte
apply,save,Speichern
apply,saveAndContinue,Speichern und fortfahren
apply,select,Wählen
apply,selectContacts,Kontakte wählen
apply,selectContactsInstructions,"Wählen Sie die Organisations-Kontakte aus, um sie dieser Anwendungssoftware hinzuzufügen"
apply,selected,Gewählt
apply,selectNonprofit,Wählen Sie eine Organisation
apply,abandonRequest,Förderungsantrag abbrechen
apply,abandonRequestHelper,"Wenn Sie Ihren Antrag abbrechen, haben Sie nicht mehr länger Zugriff auf diesen Antrag oder die eingegebenen Daten."
apply,addCollaborators,Mitarbeiter hinzufügen
