area,key,en-US
account,accountNotVerified,Account not verified
account,confirmPWPlaceholder,Re-type your password
account,confirmRegistration,Confirm Your Registration
account,createAccount,Create an Account
account,emailAddress,Email Address
account,emailConfirmPlaceholder,Re-type your email address
account,emailError,"We encountered an error while sending your email, please try again later"
account,emailMatch,"Email fields must match."
account,emailPlaceholder,Enter email address
account,employeeId,Employee ID
account,forgetPassword,I forgot my password...
account,forgotPasswordInstructions,If you forgot your password you will need to reset it.  Enter the email address associated with your account and click
account,formInstructions,Enter the following information to create your account
account,passwordMatch,"Password fields must match."
account,passwordPlaceholder,Enter password
account,passwordPopOver,"Your password must be at least 6 characters long and include at least 1 lowercase and 1 UPPERCASE letter, and at least 1 number and 1 punctuation character."
account,passwordReset,Password reset successful. Please check your email.
account,remember,Remember my user name
account,resetPW,Reset Password
account,returnToSignin,Return to Sign In Page
account,userExistsError,That email address already exists in the system.
account,userNotFound,We could not find that email address in the system.
apply,abandonRequest,abandon your grant request
apply,abandonRequestHelper,"By abandoning your request, you will no longer have access to this request or any data entered."
apply,addApplicants,Add Applicants
apply,addCollaborators,Add Collaborators
apply,addContacts,Add Contacts
apply,applicantInformation,Applicant Information
apply,approvalReturn,Approval Return
apply,backToReviews,Back to Reviews
apply,cancelConfirmKey,Cancel your grant request
apply,cancelHelperKey,"By cancelling your request, you will no longer have access to this request or any data entered."
apply,change,Change
apply,collaborators,Collaborators
apply,contactPhone,Phone
apply,cycleFinished,
apply,cycleIssue1,"Based on your answers, you are eligible for the "
apply,cycleIssue2,which is not currently accepting applications.
apply,cycleNotStarted,Please try again on
apply,duplicateEmail,Email cannot be the same as current visitor
apply,eligibilityConfirmed,"Congratulations, you are eligible to apply for this program"
apply,eligibilityDenied,It appears that this request will not meet the eligibility requirements for this program.  Please refer to our website and/or program guidelines for more information.  Thank you for your interest!
apply,eligibilityNotSetUp,"Sorry for the inconvenience, but it appears that this eligibility has not been set up yet, please try again later!"
apply,errorOnSave,Error on save
apply,fiscalSponsorInformation,Fiscal Sponsor Information
apply,form,Form
apply,id,ID
apply,missedDeadlineMessage,Unfortunately you have missed the deadline for this grant cycle. Please contact the grant administrator if you have any questions.
apply,myOrganizations,My Organizations
apply,newApplicant,New Applicant
apply,newCollaborator,New Collaborator
apply,newContact,New Contact
apply,noForms,"No forms available for this program, please try again later."
apply,nonprofitContacts,Nonprofit Contacts
apply,oneAtATime,Please keep in mind that you can only select one applicant at a time. Your first applicant selected will become the 'primary applicant'. Those selected after the first will become applicant collaborators. All applicants selected will have access to the application.
apply,organization,Organization
apply,organizationApplicants,Organization Applicants
apply,organizationApplicantsInstructions,An organization applicant is required. You may add one or more applicants by clicking the Add Applicants button.
apply,organizationContacts,Organization Contacts
apply,organizationInfo,Organization Information
apply,previewTooltip,Preview and print this request form
apply,progressReportFor,Progress Report for
apply,requestContacts,Request Contacts
apply,requestFor,Request for
apply,reviewFor,Review for
apply,saveAndContinue,Save and Continue
apply,saveApplicant,Save Applicant
apply,saveApplicants,Save Applicants
apply,saveApplicantSuccess,"Your applicants have been invited."
apply,saveAsDraft,Save as Draft
apply,saveCollaborator,Save Collaborator
apply,saveCollaborators,Save Collaborators
apply,saveCollaboratorsSuccess,"Your collaborators have been invited."
apply,saveForLater,Save For Later
apply,saveProgress,Save Progress
apply,saveSuccessful,Progress saved!
apply,selectApplicantsInstructionsModal,"To add applicants to this application, select them from the contacts list below or add a new one by clicking New Applicant."
apply,selectApplicantsWarning,"Note: Only one applicant may edit the request at a time, or you risk losing data."
apply,selectApplicantsWarning2,"Once an applicant has been invited, you cannot remove them. Please talk to your system administrator if you would like to remove an applicant that has already been invited."
apply,selectCollaboratorsInstructionsModal,"To add collaborators to this application, select them from the contacts list below or add a new one by clicking New Collaborator."
apply,selectCollaboratorsInstructionsModalEmp,"To add collaborators to this application, select them from the contacts list below."
apply,selectCollaboratorsWarning,"Note: Only one collaborator may edit the request at a time, or you risk losing data."
apply,selectCollaboratorsWarning2,"Once a collaborator has been invited, you cannot remove them. Please talk to your system administrator if you would like to remove a collaborator that has already been invited."
apply,selectContacts,Select Contacts
apply,selectContactsInstructions,"Click the Add Contacts button to add or attach organizational contacts relevant to this request."
apply,selectContactsInstructionsModal,"To add contacts to this application, click New Contact to enter contact information below"
apply,selectContactsInstructionsNote,"Note: These contacts will NOT have access to view/edit this request. If you wish to share the request, use the Share with a Collaborator button."
apply,selectOrganization,"Click on SELECT to choose your organization. Then click SAVE AND CONTINUE."
apply,selectSponsor,Select a Fiscal Sponsor
apply,shareRequest,Share with a Collaborator
apply,shareTooltip,Allow a colleague to view and edit this request.
apply,shareTooltipDisabled,You must choose an organization before sharing this request.
apply,submitFailure,You have not completed this portion of the application
apply,submitRequest,submit your request
apply,submitSuccess,You have successfully requested for a grant. Your application will now be reviewed.
apply,submitWarning,"By submitting, your request will be locked, and you will not be able to make any changes."
apply,unableToSave,Progress unable to save.
apply,uploadFile,Upload File
apply,uploadFileDesc,Select your file
apply,viewAllReports,View all Reports
apply,viewAllRequests,View all Requests
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,abandon,Abandon
common,about,About
common,aboutProgram,Learn more about this Program
common,aboutProject,Learn more about this Project
common,accountSettings,"Account Settings"
common,action,Action
common,actions,Actions
common,add,Add
common,addAComment,Add a Comment
common,additionalInfo,Additional Information
common,addNew,Add New
common,address,Address
common,addressLine1,Address Line 1
common,addressLine2,Address Line 2
common,administrator,Administrator
common,administrators,Administrators
common,allCoworkers,Find Coworkers
common,amFollowing,I am following
common,amount,Amount
common,anonymous,Anonymous
common,applicant,Applicant
common,applicants,Applicants
common,apply,Apply
common,applyTooltip,Apply for this program
common,approvalConfirmation,Approval Confirmation
common,approvals,Approvals
common,approvalUpdated,Approval updated
common,archive,Archive
common,areYouSure,Are you sure you want to
common,assignmentSelector,Please select an assignment to attach coordinators to:
common,attended,Attended
common,award,Award
common,awarded,Awarded
common,awards,Awards
common,back,Back
common,beingLoggedOut,You are being logged out.
common,boardGrant,Board Grant
common,boardParticipation,Board Participation
common,boardPosition,Board Position
common,byInitiative,By Initiative
common,byOrganization,By Organization
common,byProgram,By Program
common,cancel,Cancel
common,cancelled,Cancelled
common,cancelRequest,Cancel Request
common,city,City
common,claimCongrats,Congratulations! You've claimed an organization.
common,clear,Clear
common,clickHere,Click Here
common,clickHereLower,click here
common,close,Close
common,closed,Closed
common,comments,Comments
common,companyImpact,Company Impact
common,companyInitiatives,Company Initiatives
common,complete,Complete
common,confirm,Confirm
common,congratulationsMessage,Congratulations! You received a Payment of
common,contact,Contact
common,contacts,Contacts
common,continue,Continue
common,country,Country
common,county,"County"
common,coworker,Coworker
common,coworkers,Coworkers
common,createdAt,Created At
common,currentLocation,Current Location
common,cycle,Cycle
common,cycleOpen,Cycle Open
common,cycles,Cycles
common,dashboard,Dashboard
common,date,Date
common,dateComplete,Date Complete
common,dateFormat,"mm/dd/yyyy HH:ii P"
common,datepickerPlaceholder,MM/DD/YYYY HH:MM AM/PM
common,datePlaceholder,MM/DD/YY
common,datePlaceholderLong,"MM/DD/YYYY"
common,dates,Dates
common,dateVolunteered,Date Volunteered
common,deadlinePassed,Past Deadline
common,decisionRecordCreated,Decision Record has been created!
common,decline,Decline
common,delete,Delete
common,description,Description
common,deselect,Deselect
common,details,Details
common,disabled,Disabled
common,disableSummaryVisibility,Disable Summary View
common,documentUpload,Document Upload
common,dollars,Dollars
common,donateNowButton,Donate Now
common,donations,Donations
common,draft,Draft
common,dueDate,Due Date
common,edit,Edit
common,editDelete,Edit / Delete
common,editOrgInfo,Edit Organization
common,editRequest,Edit Request
common,einIfApp,"EIN (if applicable)"
common,email,Email
common,emailCoworker,Email Coworker
common,employmentDetails,"Employment Details"
common,enableSummaryVisibility,Enable Summary View
common,endDate,End Date
common,endTime,End Time
common,enroll,Enroll
common,enrollEnd,Enrollment End
common,enrollStart,Enrollment Start
common,enterYourZip,Enter your location in the search box to find projects near you!
common,error,Error
common,errorMsg0,A minimum donation of
common,errorMsg1, is required for
common,errorMsg2, donations.
common,errorMsg4, is required to receive a match as part of this program.
common,errorMsg5,You have no limit in available match funds for this program.
common,errorMsg6,You have
common,errorMsg7, remaining in available match funds for this program.
common,errorMsg8,"You are not eligible for a match for this program."
common,errorMsg9,"You have no remaining match funds for this program."
common,errorMsgDate,Please make sure the end date of your project is AFTER the start date of the project.
common,faq,faq
common,faqLong,Frequently Asked Questions
common,faqs,FAQs
common,fileRemoveSuccess,Successfully Removed File
common,filterBy,Filter By
common,firstName,First Name
common,for,for
common,friends,Friends
common,friendsFamily,Friends & Family
common,give,Give
common,giveLater,I'll Give Later
common,giveNow,Give Now!
common,giving,Giving
common,givingHistory,Giving History
common,givingHistoryDescription, See your personal giving history.
common,givingHistoryTitle, View Giving History
common,goalMet,"Goal met!"
common,goals,Goals
common,grant,Grant
common,grantStatus,Grant Status
common,grantType,Grant Type
common,group,Group
common,groupGiving,Group Giving
common,groupImpact,Group Impact
common,groups,Groups
common,groupStatsSelect,Select your group statistics
common,groupVolunteering,Group Volunteering
common,haveSupported,I have supported
common,help,Help!
common,here,here
common,hi,Hi
common,history,History
common,historyDoesNotExist,History Does Not Exist
common,historyLoading,History Loading . . .
common,home,Home
common,homeAddress,"Home Address"
common,hours,Hours
common,hoursType,Hours Type
common,iAgreeTo,"I Agree To"
common,impact,Impact
common,in,in
common,incomplete,Incomplete
common,information,Information
common,initiative,Initiative
common,inReview,In Review
common,instructions,Instructions
common,invite,Invite
common,invited,Invited
common,invitedByApprovals,Invited By
common,inviteOnly,Invite-Only
common,join,Join
common,lastName,Last Name
common,lastUpdate,Last Update
common,learnMore,Learn More
common,less,Less
common,loading,Loading
common,login,Login
common,loi,LOI
common,loiDeclined,LOI Declined
common,loiSubmitted,LOI Submitted
common,makeadonation,Make a Donation
common,makeadonationDescription, View available giving programs and donate.
common,makeadonationHome, Make A Donation
common,manage,Manage
common,matching,Matching
common,matchingGifts,Matching Gifts
common,matchingGiftsTooltip,will match your donation
common,message,Message
common,messages,Messages
common,messageSent,"Message sent."
common,messaging,Messaging
common,missingFields,There are missing required fields on the form
common,mission,Mission
common,mobilePhone,Mobile Phone
common,more,More
common,moreInfo,More Info
common,moveOnToPrograms,Next steps: Review our programs and apply!
common,moveToAward,Move to Award
common,myBudget,My Budget
common,myFiscalSponsors,My Fiscal Sponsors
common,mygiving,My Giving
common,myGroupImpact,My Group Impact
common,myimpact,My Impact
common,myOrganizations,My Organizations
common,myself,Myself
common,na,N/A
common,name,Name
common,new,New
common,newUser,Are you a new user?
common,next,Next
common,no,No
common,noActivePrograms,"There are currently no active volunteer programs. Please contact your system administrator for help."
common,noAvailablePrograms,Currently this program is not accepting applications.
common,noDescription,No Description Available
common,noFileUploaded,No File Uploaded
common,nonprofit,Nonprofit
common,nonprofits,Nonprofits
common,noPaths,Approval Paths have not been set up.
common,noProgramsAvailable,"Sorry, there are no programs currently available."
common,notAwarded,Not Awarded
common,notfound,This page cannot be found.
common,notfoundexp,The information you are looking for cannot be found or no longer exists.
common,oneTime,One Time Deduction
common,ongoing,Ongoing
common,open,Open
common,openEnEnd,Open Enrollment for Payroll Deductions ends
common,openEnrollOngoing, Open enrollment for this program is ongoing
common,openings,Openings
common,optional,(optional)
common,optOut,Opt Out
common,optSuccess,You have successfully opted out
common,or,or
common,organization,Organization
common,organizations,Organizations
common,orgsThat,Organizations that...
common,orgWarnNote,"Note: If applicable, select a project to log hours towards."
common,other,Other
common,overview,Overview
common,page,Page
common,participants,Participants
common,participation,Participation
common,password,Password
common,paycheck,paycheck
common,payments,Payments
common,payrollDedSaved, Payroll Deduction Saved
common,payrollDeductions,Payroll Deductions
common,payrollDets,Payroll Deduction Details
common,per,per
common,personal,Personal
common,personalDetails,"Personal Details"
common,personalHours,Personal Hours
common,phone,Phone Number
common,pleaseSelect,Please Select...
common,pleaseWait,Please wait...
common,preview,Preview
common,previous,Previous
common,print,Print
common,privacy,Privacy
common,private,Private
common,profile,Profile
common,program,Program
common,programIsNoLongerActive,This program is no longer active
common,programs,Programs
common,progressReport,Progress Report
common,progressReports,Progress Reports
common,project,Project
common,projectHours,Project Hours
common,projects,Projects
common,public,Public
common,questions,Questions
common,recipient,Recipient
common,referredBy,"Referred by:"
common,remainingMatchFunds,Available Match Funds
common,remainingMatchFundsExplanation,This is the remaining amount of matching gifts for which you are eligible during this fiscal year.
common,remove,Remove
common,removeVolunteer,Remove Volunteer
common,removeVolunteerPrompt,Are you sure you want to remove this volunteer from this assignment?
common,reports,Reports
common,request,Request
common,requestAMatch,Request a Match
common,requestedAmount,Requested Amount
common,requester,"Requester"
common,requests,Requests
common,require,Require
common,required,required
common,return,Return
common,returnToApplicant,Return to Applicant
common,returnToDashboard,Return to Dashboard
common,review,Review
common,reviews,Reviews
common,role,Role
common,roster,Roster
common,save,Save
common,saved,Saved
common,saving,Saving
common,savingDed,Saving Payroll Deduction
