area,key,fr-FR
account,confirmPW,Confirmer le mot de passe
account,confirmPWPlaceholder,Re-saisissez votre mot de passe
account,confirmRegistration,Confirmez votre inscription
account,createAccount,Créer un compte
account,emailAddress,Adresse e-mail
account,emailPlaceholder,Saisissez votre adresse e-mail
account,employeeId,ID d'employé
account,firstName,Prénom
account,firstNamePlaceholder,Prénom
account,forgetPassword,J'ai oublié mon mot de passe
account,forgotPasswordInstructions,"Si vous avez oublié votre mot de passe, vous allez devoir le réinitialiser. Saisissez l'adresse e-mail associée à votre compte et cliquez"
account,formInstructions,Entrez les informations suivantes pour créer votre compte.
account,lastName,Nom de famille
account,lastNamePlaceholder,Nom de famille
account,login,Connexion
account,password,Mot de passe
account,passwordPlaceholder,Saisissez le mot de passe
account,passwordPopOver,"Votre mot de passe doit faire au moins 6 caractères de long et comprendre au moins 1 lettre en minuscule et 1 lettre en MAJUSCULE, et au moins 1 chiffre et 1 signe de ponctuation."
account,passwordReset,Réinitialisation du mot de passe réussi. Veuillez consulter votre boite mail.
account,remember,Se souvenir de mon nom d'utilisateur.
account,resetPW,Réinitialiser le mot de passe
account,returnToSignin,Retourner à la page de connexion
account,signin,Connexion
account,signout,Déconnexion
account,userExistsError,Cette adresse e-mail existe déjà dans le système.
account,userNotFound,Nous n'avons pas pu trouver cette adresse e-mail dans le système.
account,emailConfirmPlaceholder,Saisissez à nouveau votre adresse email
account,emailMatch,Les champs des adresses email doivent correspondre.
account,emailError,"Un problème est survenu pendant l’envoi de votre courriel, veuillez réessayer plus tard"
apply,addContacts,Ajouter des contacts
apply,cancel,Annuler
apply,change,Modifier
apply,contactEmail,Adresse e-mail
apply,contactName,Nom
apply,contactPhone,Numéro de téléphone
apply,contacts,Contacts
apply,details,Informations
apply,form,Formulaire
apply,myNonprofits,Mes organisations
apply,newContact,Nouveau contact
apply,nonprofit,Organisation
apply,nonprofitContacts,Contacts de l'organisation
apply,save,Enregistrer
apply,saveAndContinue,Enregistrer et continuer
apply,select,Sélectionner
apply,selectContacts,Sélectionner des contacts
apply,selectContactsInstructions,Sélectionner les contacts de l'organisation à ajouter à cette demande
apply,selected,Sélectionné
apply,selectNonprofit,Sélectionner une organisation
apply,abandonRequest,abandonnez votre demande de subvention
apply,abandonRequestHelper,"En abandonnant cette demande, vous n'aurez plus accès à cette demande ni à aucune des données saisies."
apply,addCollaborators,Ajouter des collaborateurs
apply,applicantInformation,Informations sur le demandeur
apply,backToReviews,Retour aux examens
apply,cancelConfirmKey,Annuler votre demande de subvention
apply,cancelHelperKey,"En annulant votre demande, vous n'aurez plus accès à cette demande ni à aucune des données saisies."
apply,cycleFinished,
apply,cycleIssue1,"Sur la base de vos réponses, vous êtes éligible pour le"
apply,cycleIssue2,qui n'accepte pour le moment pas de demandes.
apply,cycleNotStarted,Merci de réessayer dans
