area,key,nl-NL
account,confirmPW,Wachtwoord bevestigen
account,confirmPWPlaceholder,Voer uw wachtwoord opnieuw in
account,confirmRegistration,Bevestig uw registratie
account,createAccount,Account aanmaken
account,emailAddress,E-.mailadres
account,emailPlaceholder,E-mailadres invoeren
account,employeeId,Werknemers-ID
account,firstName,Voornaam
account,firstNamePlaceholder,Voornaam
account,forgetPassword,Wachtwoord vergetenÉ
account,forgotPasswordInstructions,Als u uw wachtwoord bent vergeten dient u het te resetten. Voer het e-mailadres in dat met uw account is verbonden en klik
account,formInstructions,Voer de volgende gegevens in om uw account aan te maken
account,lastName,Achternaam
account,lastNamePlaceholder,Achternaam
account,login,Aanmelden
account,password,Wachtwoord
account,passwordPlaceholder,Voer wachtwoord in
account,passwordPopOver,"Uw wachtwoord moet ten minste 6 tekens lang zijn en ten minste 1 kleine letter, 1 HOOFDLETTER, 1 cijfer en 1 leesteken bevatten"
account,passwordReset,Resetten wachtwoord is gelukt. Controleer uw e-mail.
account,remember,Onthoud mijn gebruikersnaam
account,resetPW,Wachtwoord resetten
account,returnToSignin,Ga terug naar aanmeldpagina
account,signin,Aanmelden
account,signout,Afmelden
account,userExistsError,Dat e-mailadres bestaat al in het systeem.
account,userNotFound,We konden dat e-mailadres niet vinden in het systeem.
account,emailConfirmPlaceholder,Typ uw e-mailadres opnieuw
account,emailMatch,E-mailvelden moeten overeenkomen.
account,emailError,Er is een fout opgetreden tijdens het verzenden van uw e-mail. Probeer het later nog eens.
apply,addContacts,Contacten toevoegen
apply,cancel,Annuleren
apply,change,Wijzigen
apply,contactEmail,E-mailadres
apply,contactName,Naam
apply,contactPhone,Telefoonnummer
apply,contacts,Contacten
apply,details,Details
apply,form,Formulier
apply,myNonprofits,Mijn organisaties
apply,newContact,Nieuw contact
apply,nonprofit,Organisatie
apply,nonprofitContacts,Organisatiecontacten
apply,save,Opslaan
apply,saveAndContinue,Opslaan en doorgaan
apply,select,Selecteren
apply,selectContacts,Contacten selecteren
apply,selectContactsInstructions,Selecteer organisatiecontacten om aan deze aanvraag toe te voegen
apply,selected,Geselecteerd
apply,selectNonprofit,Selecteer een organisatie
apply,abandonRequest,stop uw subsidieaanvraag
apply,abandonRequestHelper,"Als u uw verzoek stopzet, zult u niet langer toegang hebben tot dit verzoek of ingevoerde gegevens."
apply,addCollaborators,Voeg partners toe
apply,applicantInformation,Informatie over de aanvrager
apply,backToReviews,Terug naar beoordelingen
apply,cancelConfirmKey,Annuleer uw subsidieaanvraag
apply,cancelHelperKey,"Als u uw verzoek annuleert, zult u niet langer toegang hebben tot dit verzoek of ingevoerde gegevens."
apply,cycleFinished,
apply,cycleIssue1,"Op basis van uw antwoorden, kom u in aanmerking voor de"
apply,cycleIssue2, die momenteel geen aanvragen accepteert.
apply,cycleNotStarted,Probeer het opnieuw op
apply,eligibilityConfirmed,"Gefeliciteerd, u komt in aanmerking om dit programma aan te vragen"
apply,eligibilityDenied,Het lijkt dat deze aanvraag niet voldoet aan de toelatingseisen voor dit programma. Wij verwijzen u naar onze website en/of richtlijnen van het programma voor meer informatie. Bedankt voor uw interesse!
apply,eligibilityNotSetUp,"Sorry voor het ongemak, maar het lijkt erop dat uw toelating nog niet is ingesteld, probeer het later opnieuw!"
apply,id,ID
apply,missedDeadlineMessage,Helaas heeft u de deadline voor deze subsidie​​cyclus niet gehaald. Neem contact op met de subsidie​​beheerder als u nog vragen heeft.
apply,myOrganizations,Mijn organisaties
apply,newCollaborator,Nieuwe partner
apply,noForms,"Er zijn geen formulieren beschikbaar voor dit programma, probeer het later opnieuw."
apply,organizationContacts,Contacten met de organisatie
apply,organizationInfo,Informatie over de organisatie
apply,previewTooltip,Bekijk het aanvraagformulier vooraf en druk dit af
apply,progressReportFor,Voortgangsrapport voor
apply,requestFor,Verzoek om
apply,reviewFor,Recensie voor
apply,saveAsDraft,Opslaan als concept
apply,saveCollaborator,Sla partner op
apply,saveCollaborators,Sla partners op
apply,saveCollaboratorsSuccess,Uw partners zijn uitgenodigd.
apply,saveForLater,Bewaren voor later
apply,saveProgress,Voortgang opslaan
apply,saveSuccessful,Voortgang opgeslagen
apply,selectCollaboratorsInstructionsModal,"Om partners aan deze aanvraag toe te voegen, selecteert u ze uit de lijst met contacten hieronder of voegt u een nieuwe toe door op 'Nieuwe partner' te klikken."
apply,selectCollaboratorsWarning,Opmerking: Slechts één aanvrager kan het verzoek op een bepaald moment bewerken of u loopt het risico gegevens te verliezen.
apply,selectContactsInstructions,"Om contacten aan deze aanvraag toe te voegen, klikt u op de knop Voeg contacten toe"
apply,selectContactsInstructionsModal,"Om contacten aan deze aanvraag toe te voegen, klikt u op Nieuw contact om de contactgegevens hieronder in te vullen"
apply,selectOrganization,Selecteer een organisatie
apply,shareRequest,Deel met een partner
apply,shareTooltip,Sta een collega toe om dit verzoek te bekijken en te bewerken.
apply,shareTooltipDisabled,U moet een organisatie kiezen vóór het delen van dit verzoek.
apply,submitFailure,U heeft dit deel van de aanvraag niet voltooid
apply,submitRequest,dien uw verzoek in
apply,submitSuccess,U heeft met succes een subsidie aangevraagd. Uw aanvraag zal nu worden beoordeeld.
apply,submitWarning,"Door het indienen, zal uw verzoek worden vergrendeld en zult u niet in staat zijn om wijzigingen aan te brengen."
apply,uploadFile,Bestand uploaden
apply,uploadFileDesc,Selecteer uw bestand
apply,viewAllReports,Bekijk alle rapporten
apply,viewAllRequests,Bekijk alle aanvragen
apply,addApplicants,Aanvragers toevoegen
apply,collaborators,Medewerkers
apply,cycleIssue2,die momenteel geen aanvragen in behandeling neemt.
apply,duplicateEmail,E-mailadres kan niet hetzelfde zijn als huidige bezoeker
apply,newApplicant,Nieuwe aanvrager
