"area","key","es-SP"
"account","accountNotVerified","Cuenta no verificada"
"account","confirmPW","Confirmar contraseña"
"account","confirmPWPlaceholder","Vuelva a escribir la contraseña"
"account","confirmRegistration","Confirmar su registro"
"account","createAccount","Crear una cuenta"
"account","emailAddress","Dirección de correo electrónico"
"account","emailConfirmPlaceholder","Vuelva a escribir su dirección de e-mail"
"account","emailError","Encontramos un error mientras enviábamos su correo electrónico, por favor, intente nuevamente"
"account","emailMatch","Los campos de correo electrónico deben coincidir."
"account","emailPlaceholder","Introduzca la dirección de correo electrónico"
"account","employeeId","Identificación del empleado"
"account","firstName","Primer Nombre"
"account","firstNamePlaceholder","Primer nombre"
"account","forgetPassword","Olvidé mi contraseña ..."
"account","forgotPasswordInstructions","Si ha olvidado su contraseña, tendrá que restablecerla. Introduzca la dirección de correo electrónico asociada a su cuenta y haga clic en"
"account","formInstructions","Introduzca la siguiente información para crear su cuenta"
"account","lastName","Apellido"
"account","lastNamePlaceholder","Apellido"
"account","login","Ingresar"
"account","password","Contraseña"
"account","passwordPlaceholder","Introduzca la contraseña"
"account","passwordPopOver","Su contraseña debe tener al menos 6 caracteres e incluir al menos 1 letra minúscula y 1  MAYÚSCULA , y al menos 1 número y 1 signo de puntuación."
"account","passwordReset","La contraseña se restableció con éxito. Gracias por confirmar su correo electrónico."
"account","remember","Recordar mi nombre de usuario"
"account","resetPW","Restablecer contraseña"
"account","returnToSignin","Vuelva a la página de inicio de sesión"
"account","signin","Iniciar sesión"
"account","signout","Salir"
"account","userExistsError","Esa dirección de correo electrónico ya existe en el sistema."
"account","userNotFound","No hemos podido encontrar en el sistema la dirección de correo electrónico indicada."
"apply","abandonRequest","abandonar su solicitud de subvención"
"apply","abandonRequestHelper","Al abandonar su solicitud, ya no tendrá acceso a la misma o a cualquier dato introducido."
"apply","addApplicants","Añadir solicitantes"
"apply","addCollaborators","Agregar colaboradores"
"apply","addContacts","Agregar contactos"
"apply","applicantInformation","Información del solicitante"
"apply","approvalReturn","Devolución de aprobación"
"apply","backToReviews","Volver a opiniones"
"apply","cancel","Cancelar"
"apply","cancelConfirmKey","Cancelar su solicitud de subvención"
"apply","cancelHelperKey","Al cancelar su solicitud, ya no tendrá acceso a la misma o a cualquier dato introducido."
"apply","change","Cambiar"
"apply","collaborators","Colaboradores"
"apply","contactEmail","Correo electrónico"
"apply","contactName","Nombre"
"apply","contactPhone","Teléfono"
"apply","contacts","Contactos"
"apply","cycleFinished",""
"apply","cycleIssue1","Según sus respuestas, usted es elegible para la "
"apply","cycleIssue2"," que no esta aceptando solicitudes en este momento."
"apply","cycleIssue2","lo cual no está aceptando solicitudes en la actualidad."
"apply","cycleNotStarted","Por favor, inténtelo de nuevo el"
"apply","details","Detalles"
"apply","duplicateEmail","El correo electrónico no puede ser el mismo que el visitante actual."
"apply","eligibilityConfirmed","Felicitaciones, usted es elegible para solicitar este programa"
"apply","eligibilityDenied","Parece que esta solicitud no cumplirá con los requisitos de elegibilidad para este programa.  Por favor, consulte nuestra página web y/o los lineamientos del programa para obtener más información.  ¡Gracias por su interés!"
"apply","eligibilityNotSetUp","Disculpe las molestias, pero aparentemente esta elegibilidad no ha sido configurada todavía, ¡por favor intente de nuevo más tarde!"
"apply","form","Planilla"
"apply","id","ID"
"apply","missedDeadlineMessage","Lamentablemente no ha cumplido con la fecha tope para este ciclo de subvención. Póngase en contacto con el administrador de la subvención si tiene alguna pregunta."
"apply","myNonprofits","Mis organizaciones"
"apply","myOrganizations","Mis organizaciones"
"apply","newApplicant","Nuevo solicitante"
"apply","newCollaborator","Nuevo colaborador"
"apply","newContact","Nuevo contacto"
"apply","noForms","No hay formularios disponibles para este programa, por favor inténtelo de nuevo más tarde."
"apply","nonprofit","Organización"
"apply","nonprofitContacts","Contactos de la Organización"
"apply","oneAtATime","Por favor, tenga en mente que solo puede seleccionar un solicitante a la vez. Su primer solicitante seleccionado se convertirá en el ""solicitante primario"". Aquellos seleccionados luego del primero se convertirán en solicitantes colaboradores. Todos los solicitantes seleccionados tendrán acceso a la solicitud. "
"apply","organizationApplicants","Solicitantes de la Organización."
"apply","organizationApplicantsInstructions","Se requiere un solicitante de la organización. Puede agregar uno o más solicitantes al hacer clic en el botón de Añadir Solicitantes."
"apply","organizationContacts","Contactos de la organización"
"apply","organizationInfo","Información de la organización"
"apply","previewTooltip","Vista previa e imprimir este formulario de solicitud"
"apply","progressReportFor","Informe de progreso para"
"apply","requestContacts","Solicitar Contactos"
"apply","requestFor","Solicitud de"
"apply","reviewFor","Revisión para"
"apply","save","Guardar"
"apply","saveAndContinue","Guardar y continuar"
"apply","saveApplicant","Guardar Solicitante"
"apply","saveApplicants","Guardar Solicitantes"
"apply","saveApplicantSuccess","Sus solicitantes han sido invitados."
"apply","saveAsDraft","Guardar como borrador"
"apply","saveCollaborator","Guardar colaborador"
"apply","saveCollaborators","Guardar colaboradores"
"apply","saveCollaboratorsSuccess","Sus colaboradores han sido invitados."
"apply","saveForLater","Guardar para más tarde"
"apply","saveProgress","Guardar progreso"
"apply","saveSuccessful","¡Progreso guardado!"
"apply","select","Seleccionar"
"apply","selectApplicantsInstructionsModal","Para añadir solicitantes a esta solicitud, selecciónelos de la lista de contactos que se encuentra a continuación o agregue uno nuevo al hacer clic en Nuevo Solicitante."
"apply","selectApplicantsWarning","Nota: Solo un solicitante por vez puede editar la solicitud; de lo contrario, correrá el riesgo de perder datos."
"apply","selectApplicantsWarning2","Una vez que se invita a un solicitante, este no puede ser eliminado. Hable con el administrador de su sistema si desea eliminar un solicitante que ya fue invitado."
"apply","selectCollaboratorsInstructionsModal","Para agregar colaboradores a esta solicitud, selecciónelos de la lista de contactos a continuación o añada uno nuevo haciendo clic en nuevo colaborador""."""
"apply","selectCollaboratorsInstructionsModal","Para añadir colaboradores a esta solicitud, selecciónelos a partir de la lista de contactos que se encuentra a continuación o agregue uno nuevo al hacer clic en Nuevo Colaborador. "
"apply","selectCollaboratorsInstructionsModalEmp","Para añadir colaboradores a eta solicitud, selecciónelos a partir de la lista de contactos a continuación. "
"apply","selectCollaboratorsWarning","Nota: Solo un colaborador por vez puede editar la solicitud; de lo contrario, correrá el riesgo de perder datos."
"apply","selectCollaboratorsWarning","Nota: Solo un colaborador por vez puede editar la solicitud; de lo contrario, correrá el riesgo de perder datos."
"apply","selectCollaboratorsWarning2","Una vez que se invita a un colaborador, este no puede ser eliminado. Hable con el administrador de su sistema si desea eliminar un colaborador que ya fue invitado."
"apply","selectContacts","Seleccionar contactos"
"apply","selectContactsInstructions","Haga clic en el botón Añadir Contactos para agregar o adjunte los contactos de la organización que sean relevantes para esta solicitud."
