area,key,pt-BR
NPOprofile,account,Conta
NPOprofile,accountNumber,Número da Conta
NPOprofile,addAContact,Adicione um Contato
NPOprofile,addASocialLink,Adicione um Link Social
NPOprofile,bankInfo,Informações Bancárias
NPOprofile,bankName,Nome do Banco
NPOprofile,bankNamePlaceholder,A razão social completa do seu banco
common,contacts,Contatos
NPOprofile,displayName,Nome de Exibição
NPOprofile,displayNamePlaceholder,Nome de exibição da sua organização
NPOprofile,emailPlaceholder,info@nossosite.com
NPOprofile,informationEmail,E-mail para Informações
NPOprofile,informationNumber,Número para Informações
NPOprofile,link,Link
NPOprofile,mailingAddress,Endereço Postal
NPOprofile,mailingAddressPlaceholder,"""101 East Main St, Charleston SC, USA"""
NPOprofile,mission,Missão
NPOprofile,nameOnAccount,Nome na Conta/Favorecido Aceitável
NPOprofile,orgInfo,Info. da Organização
NPOprofile,phonePlaceholder,(646) 580-6284
NPOprofile,routingNumber,Número de Roteamento
NPOprofile,shortMissionPlaceholder,Breve descrição da sua organização ou missão
NPOprofile,type,Tipo
NPOprofile,webAddress,Endereço do Site
NPOprofile,webAddressPlaceholder,http://www.minha-organizacao.com
NPOprofile,updateBankInfo,Atualizar Informações Bancárias
NPOprofile,updateOrgInfo,Atualizar Info. da Organização
account,confirmPW,Confirme a Senha
account,confirmPWPlaceholder,Redigite sua senha
account,confirmRegistration,Confirme Seu Registro
account,createAccount,Crie uma Conta
account,emailAddress,Endereço de E-mail
account,emailPlaceholder,Insira o endereço de e-mail
account,employeeId,ID do Funcionário
account,firstName,Primeiro Nome
account,firstNamePlaceholder,Primeiro nome
account,forgetPassword,Esqueci minha senha...
account,forgotPasswordInstructions,"""Caso tenha esquecido sua senha, você precisará redefini-la.  Digite o endereço de e-mail associado à sua conta e clique em """
account,formInstructions,Insira as seguintes informações para criar a sua conta
account,lastName,Sobrenome
account,lastNamePlaceholder,Sobrenome
account,login,Entrar
account,password,Senha
account,passwordPlaceholder,Insira sua senha
account,passwordPopOver,"""Sua senha deve ter no mínimo 6 caracteres e incluir pelo menos 1 letra minúscula, 1 letra MAIÚSCULA, 1 número e 1 um caractere de pontuação."""
account,passwordReset,"""Senha redefinida com sucesso. Por favor, confira seu e-mail."""
account,remember,Lembre-se do meu nome de usuário
account,resetPW,Redefinir Senha
account,returnToSignin,Voltar à Página de Entrada
account,signin,Entrar
account,signout,Sair
account,userExistsError,O endereço de e-mail já existe no sistema.
account,userNotFound,Não conseguimos localizar o endereço de e-mail no sistema.
apply,addContacts,Adicionar Contatos
apply,cancel,Cancelar
apply,change,Alterar
apply,contactEmail,E-mail
apply,contactName,Nome
apply,contactPhone,Telefone
apply,contacts,Contatos
apply,details,Detalhes
apply,form,Formulário
apply,myNonprofits,Minhas Organizações
apply,newContact,Novo Contato
apply,nonprofit,Organização
apply,nonprofitContacts,Contatos da Organização
apply,save,Salvar
apply,saveAndContinue,Salvar e Continuar
apply,select,Selecionar
apply,selectContacts,Selecionar Contatos
apply,selectContactsInstructions,Selecione os contatos da organização para adicionar a esta inscrição
