area,key,zh-CN
NPOprofile,account,帐户
NPOprofile,accountNumber,帐号
NPOprofile,addAContact,添加联系人
NPOprofile,addASocialLink,添加社交链接
NPOprofile,bankInfo,银行信息
NPOprofile,bankName,银行名称
NPOprofile,bankNamePlaceholder,银行的法定全称
common,contacts,联系人
NPOprofile,displayName,显示名称
NPOprofile,displayNamePlaceholder,机构的显示名称
NPOprofile,emailPlaceholder,info@oursite.com
NPOprofile,informationEmail,信息电子邮件
NPOprofile,informationNumber,信息编号
NPOprofile,link,链接
NPOprofile,mailingAddress,通讯地址
NPOprofile,mailingAddressPlaceholder,"101 East Main St, Charleston SC, USA"
NPOprofile,mission,使命
NPOprofile,nameOnAccount,帐户姓名/可接受的收款人
NPOprofile,orgInfo,机构信息
NPOprofile,phonePlaceholder,(646) 580-6284
NPOprofile,routingNumber,汇款路径号码
NPOprofile,shortMissionPlaceholder,机构或使命的简短描述
NPOprofile,type,类型
NPOprofile,webAddress,网址
NPOprofile,webAddressPlaceholder,http://www.my-organization.com
NPOprofile,updateBankInfo,更新银行信息
NPOprofile,updateOrgInfo,更新机构信息
account,confirmPW,确认密码
account,confirmPWPlaceholder,重新输入密码
account,confirmRegistration,确认注册
account,createAccount,创建帐户
account,emailAddress,电子邮件地址
account,emailPlaceholder,输入电子邮件地址
account,employeeId,员工ID
account,firstName,名字
account,firstNamePlaceholder,名字
account,forgetPassword,我忘记了密码…
account,forgotPasswordInstructions,如果您忘记了密码，您需要重置密码。输入与帐户关联的电子邮件地址，然后点击
account,formInstructions,输入以下信息来创建帐户
account,lastName,姓
account,lastNamePlaceholder,姓
account,login,登记
account,password,密码
account,passwordPlaceholder,输入密码
account,passwordPopOver,密码必须至少为6个字符，其中至少包括1个小写字母和1个大写字母，并至少有1个数字和1个标点符号。
account,passwordReset,密码重置成功。请查看您的电子邮件。
account,remember,记住我的用户名
account,resetPW,重置密码
account,returnToSignin,返回登记页面
account,signin,登记
account,signout,退出
account,userExistsError,系统中已有该电子邮件地址。
account,userNotFound,我们无法在系统中找到该电子邮件地址。
apply,addContacts,添加联系人
apply,cancel,取消
apply,change,更改
apply,contactEmail,电子邮件
apply,contactName,姓名
apply,contactPhone,电话
apply,contacts,联系方式
apply,details,详情
apply,form,表格
apply,myNonprofits,我的机构
apply,newContact,新联系人
apply,nonprofit,机构
apply,nonprofitContacts,机构联系人
apply,save,保存
apply,saveAndContinue,保存并继续
apply,select,选择
apply,selectContacts,选择联系人
apply,selectContactsInstructions,选择机构联系人，以添加至该申请
apply,selected,已选择
apply,selectNonprofit,选择机构
common,about,关于
common,actions,行动
common,add,添加
common,address,地址
common,allCoworkers,所有同事
common,amFollowing,我在关注
common,amount,金额
common,anonymous,匿名
common,apply,应用
common,assignmentSelector,请为协调员选择任务：
common,attended,已出席
common,authDashboard,主控面板
common,back,返回
common,byInitiative,按行动
common,byOrganization,按机构
common,byProgram,按计划
common,cancel,取消
common,clear,清除
common,clickHere,点击此处
common,close,关闭
common,companyImpact,公司的影响力
common,companyInitiatives,公司的行动
common,congratulationsMessage,恭喜！您收到一笔款项，金额为
common,contact,联系人
common,coworker,同事
common,coworkers,同事
common,createdAt,创建在
common,cycleOpen,周期开启
common,date,日期
common,datePlaceholder,两位月/两位日/两位年
common,dashboard,主控面板
common,delete,删除
common,details,详情
common,disabled,已禁用
common,documentUpload,文件上传
common,dollars,美元
common,donateNowButton,立即捐赠
common,edit,编辑
common,email,电子邮件
common,employeeParticipation,员工参与
common,endDate,结束日期
common,endTime,结束时间
common,event,项目
common,faq,常问问题解答
common,faqLong,常问问题解答
common,faqs,常见问题解答
common,friends,朋友
common,friendsFamily,朋友和家人
common,give,捐赠
common,giveLater,我会稍后捐赠
common,giveNow,立即捐赠！
common,giving,捐赠
common,givingHistory,捐赠历史
common,goals,目标
common,grant,补助
common,group,团体
common,groupGiving,团体的捐赠
common,groupImpact,团体的影响力
common,groups,团体
common,haveSupported,我支持了
common,help,请帮帮忙！
common,here,此处
common,historyDoesNotExist,历史记录不存在
common,hi,您好
common,home,主页
common,hours,小时数
common,impact,影响
common,initiative,行动
common,information,信息
common,instructions,说明
common,invite,邀请
common,inviteOnly,仅限邀请
common,in,在
common,join,加入
common,learnMore,了解更多
common,less,减去
common,makeadonation,进行捐赠！
common,matching,正在匹配
common,matchingGifts,正在匹配礼物
common,message,消息
common,messages,消息
common,messaging,正在发送消息
common,mobilePhone,手机
common,more,更多
common,moreInfo,更多信息
common,mygiving,我的捐赠
common,myimpact,我的影响力
common,myGroupImpact,我团体的影响力
common,myOrganizations,我的机构
common,name,名称
common,new,新
common,next,下一步
common,no,否
common,nonprofits,机构
common,ongoing,正在进行的
common,optional,（可选）
common,organization,机构
common,orgsThat,…的机构
common,other,其它
common,overview,概观
common,participants,参与者
common,participation,参与
common,paycheck,薪水
common,payments,支付
common,payrollDeduction,薪资扣除
common,payrollDeductions,薪资扣除
common,per,每
common,personalHours,个人小时数
common,phone,电话号码
common,preview,预览
common,previous,先前的
common,privacy,隐私
common,private,私人
common,profile,资料
common,program,计划
common,programs,计划
common,programIsNoLongerActive,该计划不再有效
common,projects,项目
common,projectHours,项目小时数
common,public,公共
common,questions,问题
common,recordADonation,记录捐赠
common,remainingMatchFunds,可用匹配资金
common,remainingMatchFundsExplanation,这是您本财年有资格获得的匹配礼物剩余量。
common,requestAMatch,要求匹配
common,roster,名册
common,save,保存
common,search,搜索
common,select,选择
common,selected,已选择
common,selectAVolunteerProgram,选择志愿者计划
common,selectedNonprofit,已选择机构
common,selectOrganization,选择机构
common,send,发送
common,setagoal,设定目标
common,settings,设置
common,setupPayrollDeduction,薪资捐赠
common,signOut,退出
common,signUp,注册
common,skills,技能
common,sponsor,赞助人
common,startDate,开始日期
common,startTime,开始时间
common,state,州
common,status,状态
common,streetAddress,街道地址
common,submission,提交时间
common,submit,提交
common,subject,主题
common,timePlaceholder,HH:MM 上午/下午
common,title,标题
common,text,文本
common,togoal,目标
common,total,总计
common,totalGiving,捐赠总额
common,totalHours,总小时数
common,totalImpact,总体影响
common,openings,空缺
common,totalParticipation,参与总量
common,tourTitle,参观
common,type,类型
common,unlimited,没有最大值
common,upload,上传
common,users,用户
common,viewFullDesctiption,查看完整描述
common,volunteer,志愿者
common,volunteers,志愿者
common,volunteerDate,担任志愿者的日期
common,volunteerGrants,志愿者补助
common,volunteering,担任志愿者
common,volunteerLater,我会稍后担任志愿者
common,volunteerNow,立即担任志愿者！
common,volunteerParticipation,志愿者参与
common,year,年
common,yes,是
common,zipCityState,邮编、城市，或州
company,pageTitle,公司行动
company,,
dashboard,apply,应用
common,awards,奖励
dashboard,claim,宣称
dashboard,claimNon,宣称您的机构！
dashboard,dashboard,主控面板
dashboard,faq,常见问题解答
dashboard,featuredPrograms,特色计划
dashboard,inProgress,进行中
common,manage,管理
dashboard,manageAll,管理所有
dashboard,messages,消息
dashboard,myNons,我的机构
dashboard,newMessageText,您有%1条新消息
dashboard,noMessages,您目前没有任何消息。
dashboard,noOrgAlert,请先宣称您的组机构来开始！
dashboard,payments,支付
dashboard,programs,计划
common,requests,请求
dashboard,requestStatus,您还没有任何请求。要开始申请，
common,reports,报告
dashboard,stats,统计数字
common,viewAll,查看全部
dashboard,viewAvil,查看可用计划
donate,billingAddress,帐单地址
donate,cardNumber,卡号
donate,cardExpirationDate,两位月/四位年
common,city,城市
donate,clickUploadReceipt,点击此处上传您的收据
common,country,国家
donate,cvCode,CV码
donate,dedication,将这份礼物献给朋友或亲人
donate,donationDate,输入捐赠日期
donate,donationType,捐赠类型
donate,donateNowTooltip,用信用卡进行在线捐赠，如果有资格就要求匹配。
donate,enterHonoreeName,他们的姓名
donate,expirationDate,截止日期
donate,inHonorOf,为了向…致敬
donate,inMemoryOf,为了纪念
donate,givingProgram,捐赠计划
donate,makeAnonymously,匿名捐赠
donate,nameAsItAppears,卡上的姓名
common,nonprofit,机构
donate,pageTitleOnline,立即捐赠
donate,pageTitleOffline,记录捐赠
donate,pageTitlePayroll,薪资扣除
donate,paymentDetails,支付详情
donate,postalCode,邮政编码
common,recipient,接受者
donate,recordDonationTooltip,记录您在其它地方进行的捐赠，如果有资格就要求匹配。
donate,requestMatch,要求匹配
donate,s,
donate,selectedNonprofit,已选择机构
donate,selectANonprofit,选择机构
donate,selectedOrganization,选定的机构有资格参与以下捐赠计划
donate,selectGivingProgram,请选择捐赠计划
donate,setupDeductionTooltip,设置新的薪资扣除。
common,specialInstructions,特别说明
donate,state,州
donate,specificPurpose,要求机构将捐赠用于特定目的
donate,streetAddress,街道地址
donate,toDonateSearch,要捐赠，请选择接受者 - 按名称、位置或EIN搜索
donate,uploadReceipt,上传您收到的本次捐赠的收据副本
donate,validCardNumber,有效卡号
emails,acceptedToGroup,您已被该团体接受
emails,cancellationSpace1,因为一位参与者已取消，您的项目中目前有空位。在此提醒您，一些团队成员在您项目的候补名单上。请再次访问…
emails,cancellationSpace2,以便从候补名单上添加同事。他们将收到电子邮件通知，告知他/她已被添加为该项目的志愿者。
emails,congratulations,恭喜
emails,dear,尊敬的
