area,key,en-US
NPOprofile,account,Account
NPOprofile,accountNumber,Account Number
NPOprofile,addAContact,Add a Contact
NPOprofile,addASocialLink,Add a Social Link
NPOprofile,bankInfo,Bank Information
NPOprofile,bankName,Bank Name
NPOprofile,bankNamePlaceholder,The full legal name for your bank
NPOprofile,contacts,Contacts
NPOprofile,displayName,Display Name
NPOprofile,displayNamePlaceholder,Display name for your organization
NPOprofile,emailPlaceholder,info@oursite.com
NPOprofile,informationEmail,Information Email
NPOprofile,informationNumber,Information Number
NPOprofile,link,Link
NPOprofile,mailingAddress,Mailing Address
NPOprofile,mailingAddressPlaceholder,"101 East Main St, Charleston SC, USA"
NPOprofile,mission,Mission
NPOprofile,nameOnAccount,Name On Account/Acceptable Payee
NPOprofile,orgInfo,Organization Info
NPOprofile,phonePlaceholder,(646) 580-6284
NPOprofile,routingNumber,Routing Number
NPOprofile,shortMissionPlaceholder,Short description of your organization or mission
NPOprofile,type,Type
NPOprofile,webAddress,Website Address
NPOprofile,webAddressPlaceholder,http://www.my-organization.com
NPOprofile,updateBankInfo,Update Bank Information
NPOprofile,updateOrgInfo,Update Organization Info
account,confirmPW,Confirm Password
account,confirmPWPlaceholder,Re-type your password
account,confirmRegistration,Confirm Your Registration
account,createAccount,Create an Account
account,emailAddress,E-mail Address
account,emailPlaceholder,Enter email address
account,employeeId,Employee ID
account,firstName,First Name
account,firstNamePlaceholder,First name
account,forgetPassword,I forgot my password...
account,forgotPasswordInstructions,If you forgot your password you will need to reset it.  Enter the email address associated with your account and click
account,formInstructions,Enter the following information to create your account
account,lastName,Last Name
account,lastNamePlaceholder,Last name
account,login,Sign In
account,password,Password
account,passwordPlaceholder,Enter password
account,passwordPopOver,"Your password must be at least 6 characters long and include at least 1 lowercase and 1 UPPERCASE letter, and at least 1 number and 1 punctuation character."
account,passwordReset,Password reset successful. Please check your email.
account,remember,Remember my user name
account,resetPW,Reset Password
account,returnToSignin,Return to Sign In Page
account,signin,Sign In
account,signout,Sign Out
account,userExistsError,That email address already exists in the system.
account,userNotFound,We could not find that email address in the system.
apply,addContacts,Add Contacts
apply,cancel,Cancel
apply,change,Change
apply,contactEmail,Email
apply,contactName,Name
apply,contactPhone,Phone
apply,contacts,Contacts
apply,details,Details
apply,form,Form
apply,myNonprofits,My Organizations
apply,newContact,New Contact
apply,nonprofit,Organization
apply,nonprofitContacts,Organization Contacts
apply,save,Save
apply,saveAndContinue,Save and Continue
apply,select,Select
apply,selectContacts,Select Contacts
apply,selectContactsInstructions,Select organization contacts to add to this application
apply,selected,Selected
apply,selectNonprofit,Select a organization
common,about,About
common,actions,Actions
common,add,Add
common,address,Address
common,allCoworkers,All Coworkers
common,amFollowing,I am following
common,amount,Amount
common,anonymous,Anonymous
common,apply,Apply
common,assignmentSelector,Please select an assignment to attach coordinators to:
common,attended,Attended
common,authDashboard,Dashboard
common,back,Back
common,byInitiative,By Initiative
common,byOrganization,By Organization
common,byProgram,By Program
common,cancel,Cancel
common,clear,Clear
common,clickHere,Click Here
common,close,Close
common,companyImpact,Company Impact
common,companyInitiatives,Company Initiatives
common,congratulationsMessage,Congratulations! You received a Payment of
common,contact,Contact
common,coworker,Coworker
common,coworkers,Coworkers
common,createdAt,Created At
common,cycleOpen,Cycle Open
common,date,Date
common,datePlaceholder,MM/DD/YY
common,dashboard,Dashboard
common,delete,Delete
common,details,Details
common,disabled,Disabled
common,documentUpload,Document Upload
common,dollars,Dollars
common,donateNowButton,Donate Now
common,edit,Edit
common,email,Email
common,employeeParticipation,Employee Participation
common,endDate,End Date
common,endTime,End Time
common,event,Project
common,faq,faq
common,faqLong,Frequently Asked Questions
common,faqs,FAQs
common,friends,Friends
common,friendsFamily,Friends & Family
common,give,Give
common,giveLater,I'll Give Later
common,giveNow,Give Now!
common,giving,Giving
common,givingHistory,Giving History
common,goals,Goals
common,grant,Grant
common,group,Group
common,groupGiving,Group Giving
